,text,date,category,language,class
0,"Hello, Does it matter iff I use Visa or Mastercard? Thanks",7-6-2022,visa_or_mastercard,en,card
1,"Good afternoon, I just got refunded for my purchase over two weeks ago best Regards",16-11-2022,reverted_card_payment?,en,card
2,"Hello, I got billed ann extra pound! Thanks",4-12-2022,extra_charge_on_statement,en,others
3,"Hi, How long does it take for a transfer to show up in my account? Thanks",23-11-2022,transfer_timing,en,transfer
4,"hi, When can I use money sent to my accountt? best Regards",17-4-2022,transfer_timing,en,transfer
5,"Hi, My card is about to expire.  Are there any costs with a replacement card?  How quick do you mail it to me? best Regards",5-8-2022,card_about_to_expire,en,card
6,"Good afternoon, The exchange rate that was applied for an international purchase was wrongg. best Regards",26-7-2022,card_payment_wrong_exchange_rate,en,card
7,"hello, Myy app shows a payment I didn't make thanks",4-4-2022,card_payment_not_recognised,en,card
8,"Hello, There is a card payment that I'm not recognizing. Kind Regards",8-1-2022,card_payment_not_recognised,en,card
9,"good evening, Do you offer auto top ups? Kind Regards",22-3-2022,automatic_top_up,en,others
10,"good afternoon, How do you decide what the exchangee rates are? Best Regards",11-7-2022,exchange_rate,en,others
11,"hi, I made a transfer and was charged extra. Why? best Regards",10-4-2022,transfer_fee_charged,en,transfer
12,"Good afternoon, I made a payment and it appears it is showing twicee thanks",11-8-2022,transaction_charged_twice,en,others
13,"Good evening, I recently bought something abroad but the exchange ratee is incorrect. Why? kind Regards",20-7-2022,card_payment_wrong_exchange_rate,en,card
14,"hi, The ATM didn't give me thee full requested amount Thanks",13-8-2022,wrong_amount_of_cash_received,en,cash
15,"good afternoon, What is the procedure for topping up with a cheque? best Regards",24-5-2022,top_up_by_cash_or_cheque,en,cash
16,"good evening, Will you accept my credit card, it my only one. thanks",11-1-2022,supported_cards_and_currencies,en,card
17,"hi, My new card just arrived, how cann I activate it? Best Regards",3-8-2022,activate_my_card,en,card
18,"Good morning, How can II information on my limit for top-ups? Best Regards",21-8-2022,top_up_limits,en,others
19,"Good evening, Why hasn't my transfer gone through Kind Regards",21-9-2022,failed_transfer,en,transfer
20,"Good morning, I thought transfers were free. Whyy was I charged to transfer? best Regards",1-5-2022,transfer_fee_charged,en,transfer
21,"hi, Do I pay extraa for exchange? best Regards",6-7-2022,exchange_charge,en,others
22,"hi, Are there any restrictions for the disposable cards that I need to be aware of? thanks",10-9-2022,disposable_card_limits,en,card
23,"hi, Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate? thanks",4-6-2022,card_payment_wrong_exchange_rate,en,card
24,We have hope. Rebellions are built on hope.,2-2-2022,account_support,en,
25,"good evening, What doess a transfer cost? Kind Regards",5-3-2022,top_up_by_bank_transfer_charge,en,transfer
26,"Hi, Can you explain to me why a top upp would be reverted? Kind Regards",4-3-2022,top_up_reverted,en,others
27,"Good morning, Do you support direct deposits from my employer? Thanks",23-6-2022,receiving_money,en,others
28,"Olá, Posso obter uma atualização sobre o meu cartão de substituição? Cumprimentos",11-7-2022,extra_charge_on_statement,pt,others
29,"Boas, Encontrei o meu cartão no meu casaco esta manhã, por isso posso reativá-lo? Obrigada",26-12-2022,cash_withdrawal_not_recognised,pt,cash
30,"hi, The ATM wouldn't allow me to withdraw money Thanks",7-5-2022,declined_cash_withdrawal,en,cash
31,"Hello, I was checking my statementt and I think one of my card payments has reverted Best Regards",22-12-2022,reverted_card_payment?,en,card
32,"hi, I guess exchange rate for my payment was not correct, as i charged extra on the last saturday. best Regards",21-1-2022,card_payment_wrong_exchange_rate,en,card
33,"Hi, I cannot get my google pay to work. Thanks",21-3-2022,apple_pay_or_google_pay,en,others
34,"good morning, I hatee this company! Can you delete my account? Best Regards",4-4-2022,terminate_account,en,security
35,"good afternoon, I didn't receive my money earlier and it says the transaction is still in progress. Can you fixx it? Kind Regards",15-12-2022,pending_cash_withdrawal,en,cash
36,"hello, I've made a transfer, how long until the money reaches my account? Thanks",29-10-2022,transfer_timing,en,transfer
37,"Good morning, I need urgent help. I realizee I sent my payment to the wrong account number. I made a typo. Please cancel the transfer now. There isn't an option from the app. thanks",2-8-2022,cancel_transfer,en,transfer
38,"Olá, Quero reativar o meu cartão. Pensei que o tinha perdido, mas voltei a encontrá-lo no meu casaco. Cumprimentos",7-4-2022,unable_to_verify_identity,pt,others
39,"Olá, E se eu quiser adicionar um cartão que já tenho à aplicação? Melhores cumprimentos",2-8-2022,direct_debit_payment_not_recognised,pt,others
40,"Hi, I am out of money in my account and I was wondering if I could do a bank transfer is put more in it? Thanks",6-11-2022,transfer_into_account,en,transfer
41,"good evening, the exchange ratee for my withdrawal is wrong thanks",24-1-2022,wrong_exchange_rate_for_cash_withdrawal,en,cash
42,"Good afternoon, My money's disappeared from my account! I topped up the other day and it was there, but now it's not. Help? kind Regards",30-8-2022,top_up_reverted,en,others
43,"Hello, How long do cheques take to post to your account? Best Regards",5-11-2022,balance_not_updated_after_cheque_or_cash_deposit,en,cash
44,"Hello, In regards to my card payment, the exchange rate is incorrect. kind Regards",25-9-2022,card_payment_wrong_exchange_rate,en,card
45,"hi, Are there limits on the virtual cards? best Regards",18-3-2022,disposable_card_limits,en,card
46,"good evening, What's the deal with verifying the top-up? kind Regards",1-10-2022,verify_top_up,en,others
47,"Hi, How old do my kids need too be too use your service? Thanks",24-6-2022,age_limit,en,others
48,"good afternoon, What is going on with my cash deposit. I'm looking at my account balance and it is not there. It has been almost a week. Someone better get back to me asap. Best Regards",27-1-2022,balance_not_updated_after_cheque_or_cash_deposit,en,cash
49,"Olá, Posso voltar a colocar o meu cartão antigo na aplicação? Melhores cumprimentos",22-7-2022,change_pin,pt,security
